flavor,ice_cream,hot_fudge,caramel,marshmallow,whipped_cream,nuts,cherry,banana,calories
triplemex,3,2.37272822595,0.152183707933,2.37272822595,1.42616237741,1.06977791108,0,3,1106.90780725
sweet cream,0,2.3508209024,0.485869158292,2.3508209024,1.11852826169,0.228396560921,0,3,695.953653484
vanilla,1,4.50190876525,0.323430582496,4.50190876525,1.18641908289,1.21431695127,0,19,1476.19897891
sweet cream,0,2.61683943752,0.282035551669,2.61683943752,0.826102476271,0.491522107822,0,16,807.700117331
sweet cream,0,1.7662471543,0.338037113218,1.7662471543,0.906229823298,0.315505903184,1,2,533.292489303
mexican vanilla,2,3.07125027198,1.31615312552,3.07125027198,1.41415716778,1.08846801356,0,16,1384.97219484
sweet cream,0,2.9441722766,0.710606878388,2.9441722766,1.02729995286,0.375403558729,0,2,879.622678468
sweet cream,0,1.9249516259,0.0829977665912,1.9249516259,1.12485144613,0.639239034273,1,4,562.648334746
mexican vanilla,2,3.8011817522,0.496637544595,3.8011817522,0.749640777089,0.551346227638,1,10,1390.35550734
triplemex,3,1.82014398757,0.724756836378,1.82014398757,0.845906229361,0.566379801032,0,9,1054.83576224
vanilla,1,2.64994415573,0.316985060377,2.64994415573,1.21732058149,0.031760922939,1,11,921.360408788
vanilla,1,0.873511786755,0.363530792203,0.873511786755,0.886042495685,0.447102556764,1,6,477.351033323
vanilla,1,2.34296115557,0.295369696195,2.34296115557,0.95796746274,0.04890945111,1,7,820.154955578
sweet cream,0,2.16539903477,0.80757156508,2.16539903477,0.958787428578,1.09533087491,0,17,809.922336628
mexican vanilla,2,0.646304668349,1.65982489385,0.646304668349,0.929987460636,0.497243610048,1,5,749.851981352
vanilla,1,3.02415820708,0.768407110524,3.02415820708,1.17279559239,0.53194131293,1,1,1057.28004873
vanilla,1,1.65932687231,0.854240001146,1.65932687231,1.14528004575,0.309769686545,1,10,762.618442942
triplemex,3,2.26698681776,0.456633431566,2.26698681776,0.952650266943,0.827353687711,1,16,1183.2306057
vanilla,1,0.623841505302,0.936505599644,0.623841505302,1.12638949746,0.598075818109,1,15,555.351123157
sweet cream,0,1.5460005173,0.251760590059,1.5460005173,0.904911271946,0.166434078028,0,14,509.82521191
triplemex,3,2.58709336899,0.332896729912,2.58709336899,1.31776254117,0.753871140421,0,7,1190.94350908
vanilla,1,1.62164079848,0.364979732526,1.62164079848,0.986619190642,0.405595161934,1,19,728.329871121
triplemex,3,2.2691394313,1.31408226752,2.2691394313,1.32058382384,8.14793295535e-05,0,18,1275.96594251
sweet cream,0,1.51609485298,0.153143052211,1.51609485298,1.16163902928,0.67834870446,1,7,488.205718535
vanilla,1,1.4785691285,1.15893897312,1.4785691285,1.42768388469,1.39961153035,1,1,774.885175689
sweet cream,0,0.719252973436,1.2834421984,0.719252973436,0.790531506019,0.433563744395,1,0,408.332012387
triplemex,3,2.34377049979,0.760089628156,2.34377049979,0.849641864752,0.193155460776,0,6,1157.41097713
triplemex,3,0.973655138051,0.794916263996,0.973655138051,1.23381765919,0.378854595821,0,2,812.464495177
triplemex,3,2.34729306689,0.721850203742,2.34729306689,1.07927932842,0.44197949409,0,15,1211.83400661
mexican vanilla,2,0.474234817205,2.54352408421,0.474234817205,0.950871385921,0.0424493463598,0,12,843.816755338
triplemex,3,1.33875541219,0.0917934572639,1.33875541219,1.12503349589,0.597403323521,0,12,858.328305779
vanilla,1,3.03852029391,0.139984857789,3.03852029391,1.0935643159,1.45137420372,0,10,1048.94502686
sweet cream,0,1.35721172585,0.139608555737,1.35721172585,1.03156029055,0.903802992421,1,11,476.686846768
mexican vanilla,2,1.17489846379,0.857666344344,1.17489846379,0.991412246434,0.590444279581,0,5,758.82807955
vanilla,1,3.70694438369,0.103958251232,3.70694438369,0.769620660695,0.364930172426,1,19,1206.73330751
vanilla,1,1.76252285222,0.239464788487,1.76252285222,0.821739102656,0.278709169474,1,18,732.059802623
sweet cream,0,2.03933709177,0.98957721099,2.03933709177,0.731217249986,0.358896302276,0,0,682.065407705
sweet cream,0,3.78288019261,1.21791740859,3.78288019261,0.782009451489,0.254549139382,0,0,1147.39119202
mexican vanilla,2,0.908783100009,0.0409177894775,0.908783100009,0.987333610023,1.03510717394,0,6,596.987471001
sweet cream,0,2.3326056629,0.67212676852,2.3326056629,1.00602432329,0.474829268117,1,0,723.760088995
triplemex,3,1.37396104342,0.0332592812344,1.37396104342,0.730482294722,0.523098734591,0,14,861.477948127
mexican vanilla,2,2.30078384247,0.527167326825,2.30078384247,0.595644472445,0.795361674095,0,18,1062.80429913
sweet cream,0,1.19099318755,1.68701727001,1.19099318755,0.889377299465,1.11637297532,1,15,696.734554551
sweet cream,0,2.57395812613,0.662361255816,2.57395812613,0.874097384316,0.205295816602,1,15,843.101289808
triplemex,3,3.61616232505,0.435366262305,3.61616232505,1.22965352931,0.35762389984,1,11,1471.06394383
vanilla,1,2.83006968498,0.390325094246,2.83006968498,0.676763836676,0.225325323858,0,4,939.746562269
triplemex,3,4.13190567008,0.158244019803,4.13190567008,0.805461793008,1.29396200361,1,13,1611.85481502
vanilla,1,3.51884513186,1.11149782882,3.51884513186,0.723202156258,0.914180769268,0,3,1249.930613
triplemex,3,1.24273292709,0.501271564673,1.24273292709,1.00141846312,0.121084611788,0,15,885.939544767
triplemex,3,3.03257392515,0.560478783211,3.03257392515,0.940733516023,0.363610449033,1,15,1361.92168935
vanilla,1,1.92183454533,0.773726712841,1.92183454533,1.03327450453,0.00410858022915,1,0,749.989268307
